district,location,0-11,12-19,20-59,60+,other,total_borrowers,number_of_borrowed_items,computer_hours,number_of_visits,items_in_stock,staffing_costs,premises_costs,other_costs,total_costs,number_of_birth_and_death_registrations
Tunbridge Wells,Cranbrook ,158,15,167,285,59,684,9866,167,2776,16850,17064,31317,16851,65232,3
Thanet,Margate ,36,6,92,139,34,307,2502,376,2550,35477,35582,67085,35477,138144,24
Canterbury,Whitstable ,112,8,139,259,51,569,4248,83,1337,25927,26095,40761,25927,92783,290
Shepway,Hythe ,137,14,159,538,140,988,14108,485,3172,23627,23818,47713,23628,95159,399
Dover,Dover,118,17,172,338,63,708,7366,859,2765,51955,52156,149644,51956,253756,594
Swale,Faversham ,222,25,295,391,65,998,14110,439,5181,32082,32442,42466,32083,106991,651
Gravesham,Coldharbour ,128,38,152,284,79,681,7270,222,5924,20509,20695,25855,20510,67060,1059
Dover,Deal ,111,38,242,668,134,1193,16925,1062,2708,43974,44250,74771,43975,162996,1086
Gravesham,Gravesend ,130,70,266,273,74,813,8316,2170,1462,44877,45176,55772,44878,145826,1102
Swale,Sittingbourne ,177,39,253,391,104,964,13370,1215,3842,42911,43208,41186,42912,127306,1137
Canterbury,Canterbury ,327,56,575,573,85,1616,15925,977,7497,55904,56566,202446,55905,314917,1190
Thanet,Broadstairs ,122,25,252,486,136,1021,14229,1410,2664,26591,26870,64758,26592,118220,1633
Thanet,Ramsgate,124,19,190,310,57,700,7740,486,3441,37127,37359,114830,37128,189317,1728
Shepway,Folkestone ,174,33,243,330,96,876,8961,1562,3677,42501,42792,77446,42502,162740,1789
Tonbridge & Malling,Tonbridge ,435,91,504,506,116,1652,22020,1176,5354,43429,44053,30936,43430,118419,2062
Canterbury,Herne Bay ,150,28,226,594,120,1118,15143,1230,4334,30680,30945,55274,30681,116900,2236
Dartford,Dartford ,213,93,291,250,77,924,10032,1579,4863,48720,49053,84596,48722,182371,2538
Sevenoaks,Sevenoaks,482,110,586,580,148,1906,26637,889,11975,48024,48723,102432,48025,199180,2557
Ashford,Ashford (Ashford Gateway Plus),249,78,329,429,110,1195,13585,1658,2161,58623,59014,153190,58624,270828,2810
Tunbridge Wells,Tunbridge Wells ,2,2,10,8,16,38,136,2,0,38916,38926,17495,38916,95337,2991
Maidstone,Maidstone  Kent History & Library Centre,314,88,546,474,173,1595,17155,1472,2284,110656,111265,226591,110657,448513,4166
Ashford,Bockhanger,0,0,0,0,0,0,0,0,0,2068,2068,1034,2068,5170,0
Gravesham,Kings Farm ,0,0,0,0,1,1,1,1,0,6142,6142,8982,6142,21266,0
Dartford,Summerhouse ,0,0,0,0,1,1,1,218,0,7154,7154,10979,7154,25287,0
Dover,Ash ,0,0,1,0,0,1,1,0,0,3387,3388,2443,3387,9218,0
Sevenoaks,Westerham ,0,0,0,1,0,1,1,0,0,6144,6144,6684,6144,18972,0
Shepway,New Romney ,0,0,0,0,1,1,1,0,0,8205,8205,10519,8205,26929,0
Swale,Queenborough ,0,0,0,0,1,1,1,0,0,5103,5103,18919,5103,29125,0
Tunbridge Wells,Pembury ,0,0,0,0,1,1,1,0,0,6946,6946,48942,6946,62834,0
Tonbridge & Malling,Hadlow,0,0,1,0,1,2,2,0,0,5348,5349,19079,5348,29776,0
Dartford,Greenhithe ,0,0,0,1,1,2,2,1,0,6863,6863,5980,6863,19706,0
Ashford,Stanhope,0,0,1,0,0,1,2,0,0,5830,5831,24578,5830,36239,0
Ashford,Wye,1,0,0,0,1,2,2,0,0,6535,6535,22919,6535,35989,0
Gravesham,Hive House ,0,0,0,0,1,1,2,0,0,2838,2838,11693,2838,17369,0
Maidstone,Bearsted ,0,0,1,0,1,2,2,0,0,5497,5498,21030,5497,32025,0
Maidstone,Yalding ,0,0,0,0,1,1,2,0,0,4683,4683,11784,4683,21150,0
Shepway,Wood Avenue,0,1,0,0,0,1,2,0,0,8997,8997,33583,8997,51577,0
Ashford,Charing,0,0,1,0,2,3,3,0,0,7182,7183,11887,7182,26252,0
Maidstone,Madginford ,0,0,1,0,1,2,3,0,0,11168,11169,12220,11168,34557,0
Sevenoaks,Otford ,0,0,0,0,1,1,3,0,0,6749,6749,12736,6749,26234,0
Swale,Teynham ,0,0,0,0,2,2,3,0,0,2950,2950,12014,2950,17914,0
Tonbridge & Malling,East Peckham ,0,0,0,1,2,3,3,0,0,5158,5158,12093,5158,22409,0
Sevenoaks,Kemsing ,0,0,0,1,0,1,5,0,0,6990,6990,8452,6990,22432,0
Canterbury,Swalecliffe,0,0,2,1,3,6,7,0,0,8281,8283,11353,8281,27917,0
Maidstone,Marden ,0,0,0,2,1,3,8,1,0,7291,7291,18623,7291,33205,0
Dartford,Ashen Drive ,2,0,0,0,1,3,8,0,0,6418,6418,6846,6418,19682,0
Dover,Aylesham,0,0,0,0,1,1,8,0,0,7053,7053,16218,7053,30324,0
Maidstone,Staplehurst ,1,0,1,0,3,5,8,0,0,10528,10530,17352,10528,38410,0
Maidstone,Headcorn ,0,0,0,0,2,2,10,0,0,7826,7826,10002,7826,25654,0
Dartford,Swan Valley,2,0,1,0,0,3,14,0,0,8475,8478,2460,8475,19413,0
Thanet,MinsterinThanet,0,0,1,0,0,1,14,0,0,5756,5757,46903,5756,58416,0
Gravesham,Riverview Park ,2,0,1,0,0,3,18,0,0,9416,9417,6483,9416,25316,0
Maidstone,Lenham ,0,0,0,1,2,3,18,0,0,5731,5731,15627,5731,27089,0
Maidstone,Coxheath ,1,0,1,2,2,6,19,0,0,12232,12233,19092,12232,43557,0
Tonbridge & Malling,Hildenborough ,2,0,0,1,6,9,26,0,0,8522,8522,12227,8522,29271,0
Tonbridge & Malling,West Malling ,0,0,1,1,5,7,36,0,0,14826,14827,23791,14826,53444,0
Sevenoaks,New Ash Green ,0,0,2,2,2,6,37,5,0,10404,10406,14620,10404,35430,0
